"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\consts.dart", "Dart", 2, 0, 0, 2, 4
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\functions\f1.json", "JSON", 0, 8, 0, 1, 9
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\functions\f2.json", "JSON", 0, 0, 0, 1, 1
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\functions\f3.json", "JSON", 0, 0, 0, 1, 1
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\main.dart", "Dart", 25, 0, 3, 3, 31
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\models\move_function_model.dart", "Dart", 25, 0, 0, 9, 34
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\models\move_function_model.freezed.dart", "Dart", 180, 0, 41, 81, 302
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\models\move_function_model.g.dart", "Dart", 23, 0, 4, 7, 34
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\providers\general_provider.dart", "Dart", 59, 0, 0, 14, 73
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\control_screen.dart", "Dart", 551, 0, 29, 49, 629
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\function_details_screen.dart", "Dart", 107, 0, 0, 9, 116
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\functions_screen.dart", "Dart", 168, 0, 0, 8, 176
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\settings_screen.dart", "Dart", 82, 0, 0, 8, 90
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\api.dart", "Dart", 68, 0, 30, 11, 109
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\function_utils.dart", "Dart", 16, 0, 0, 2, 18
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\local_utils.dart", "Dart", 32, 0, 0, 7, 39
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\snackbar.dart", "Dart", 30, 0, 0, 7, 37
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\widgets\custom_stick.dart", "Dart", 87, 0, 0, 17, 104
"Total", "-", 1455, 8, 107, 237, 1807